# B8V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3643.2      0.0001148859
 3643.3      0.0001149018
 3643.4      0.0001149177
 3643.5      0.0001149336
 3643.6      0.0001149496
 3643.7      0.0001149655
 3643.8      0.0001149814
 3643.9      0.0001149973
 3644.0      0.0001150133
 3644.1      0.0001150292
 3644.2      0.0001150452
 3644.3      0.0001150611
 3644.4      0.0001150771
 3644.5      0.0001150931
 3644.6      0.0001151090
 3644.7      0.0001151250
 3644.8      0.0001151409
 3644.9      0.0001151569
 3645.0      0.0001151728
 3645.1      0.0001151888
 3645.2      0.0001152046
 3645.3      0.0001152206
 3645.4      0.0001152364
 3645.5      0.0001152524
 3645.6      0.0001152683
 3645.7      0.0001152842
 3645.8      0.0001153001
 3645.9      0.0001153160
 3646.0      0.0001153319
 3646.1      0.0001153479
 3646.2      0.0001153638
 3646.3      0.0001153797
 3646.4      0.0001153956
 3646.5      0.0001154116
 3646.6      0.0001154276
 3646.7      0.0001154435
 3646.8      0.0001154594
 3646.9      0.0001154754
 3647.0      0.0001154913
 3647.1      0.0001155072
 3647.2      0.0001155231
 3647.3      0.0001155390
 3647.4      0.0001155549
 3647.5      0.0001155708
 3647.6      0.0001155867
 3647.7      0.0001156026
 3647.8      0.0001156185
 3647.9      0.0001156343
 3648.0      0.0001156503
 3648.1      0.0001156662
 3648.2      0.0001156821
 3648.3      0.0001156981
 3648.4      0.0001157140
 3648.5      0.0001157299
 3648.6      0.0001157459
 3648.7      0.0001157618
 3648.8      0.0001157777
 3648.9      0.0001157936
 3649.0      0.0001158095
 3649.1      0.0001158305
 3649.2      0.0001158520
 3649.3      0.0001158736
 3649.4      0.0001158945
 3649.5      0.0001159141
 3649.6      0.0001159317
 3649.7      0.0001159465
 3649.8      0.0001159580
 3649.9      0.0001159655
 3650.0      0.0001159683
 3650.1      0.0001159638
 3650.2      0.0001159545
 3650.3      0.0001159413
 3650.4      0.0001159247
 3650.5      0.0001159054
 3650.6      0.0001158840
 3650.7      0.0001158614
 3650.8      0.0001158381
 3650.9      0.0001158148
 3651.0      0.0001157921
 3651.1      0.0001157745
 3651.2      0.0001157569
 3651.3      0.0001157392
 3651.4      0.0001157216
 3651.5      0.0001157039
 3651.6      0.0001156863
 3651.7      0.0001156687
 3651.8      0.0001156510
 3651.9      0.0001156335
 3652.0      0.0001156158
 3652.1      0.0001155982
 3652.2      0.0001155807
 3652.3      0.0001155631
 3652.4      0.0001155456
 3652.5      0.0001155281
 3652.6      0.0001155105
 3652.7      0.0001154930
 3652.8      0.0001154754
 3652.9      0.0001154579
 3653.0      0.0001154403
 3653.1      0.0001154227
 3653.2      0.0001154051
 3653.3      0.0001153874
 3653.4      0.0001153698
 3653.5      0.0001153522
 3653.6      0.0001153345
 3653.7      0.0001153169
 3653.8      0.0001152992
 3653.9      0.0001152816
 3654.0      0.0001152640
 3654.1      0.0001152464
 3654.2      0.0001152289
 3654.3      0.0001152113
 3654.4      0.0001151938
 3654.5      0.0001151762
 3654.6      0.0001151587
 3654.7      0.0001151412
 3654.8      0.0001151236
 3654.9      0.0001151061
 3655.0      0.0001150885
 3655.1      0.0001150710
 3655.2      0.0001150534
 3655.3      0.0001150359
 3655.4      0.0001150183
 3655.5      0.0001150008
