# QSO spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3643.1      0.0001116241
 3643.2      0.0001116438
 3643.3      0.0001116621
 3643.4      0.0001116788
 3643.5      0.0001116940
 3643.6      0.0001117076
 3643.7      0.0001117194
 3643.8      0.0001117295
 3643.9      0.0001117378
 3644.0      0.0001117442
 3644.1      0.0001117487
 3644.2      0.0001117512
 3644.3      0.0001117517
 3644.4      0.0001117501
 3644.5      0.0001117463
 3644.6      0.0001117404
 3644.7      0.0001117321
 3644.8      0.0001117215
 3644.9      0.0001117086
 3645.0      0.0001116931
 3645.1      0.0001116690
 3645.2      0.0001116416
 3645.3      0.0001116110
 3645.4      0.0001115777
 3645.5      0.0001115417
 3645.6      0.0001115036
 3645.7      0.0001114636
 3645.8      0.0001114219
 3645.9      0.0001113790
 3646.0      0.0001113350
 3646.1      0.0001112902
 3646.2      0.0001112452
 3646.3      0.0001111998
 3646.4      0.0001111548
 3646.5      0.0001111102
 3646.6      0.0001110663
 3646.7      0.0001110235
 3646.8      0.0001109821
 3646.9      0.0001109423
 3647.0      0.0001109045
 3647.1      0.0001108689
 3647.2      0.0001108360
 3647.3      0.0001108058
 3647.4      0.0001107788
 3647.5      0.0001107553
 3647.6      0.0001107493
 3647.7      0.0001107466
 3647.8      0.0001107470
 3647.9      0.0001107502
 3648.0      0.0001107559
 3648.1      0.0001107639
 3648.2      0.0001107738
 3648.3      0.0001107855
 3648.4      0.0001107986
 3648.5      0.0001108130
 3648.6      0.0001108282
 3648.7      0.0001108442
 3648.8      0.0001108606
 3648.9      0.0001108770
 3649.0      0.0001108935
 3649.1      0.0001109095
 3649.2      0.0001109248
 3649.3      0.0001109393
 3649.4      0.0001109526
 3649.5      0.0001109644
 3649.6      0.0001109746
 3649.7      0.0001109828
 3649.8      0.0001109887
 3649.9      0.0001109922
 3650.0      0.0001109929
 3650.1      0.0001109748
 3650.2      0.0001109539
 3650.3      0.0001109304
 3650.4      0.0001109046
 3650.5      0.0001108769
 3650.6      0.0001108474
 3650.7      0.0001108166
 3650.8      0.0001107845
 3650.9      0.0001107517
 3651.0      0.0001107183
 3651.1      0.0001106846
 3651.2      0.0001106510
 3651.3      0.0001106176
 3651.4      0.0001105849
 3651.5      0.0001105530
 3651.6      0.0001105222
 3651.7      0.0001104930
 3651.8      0.0001104654
 3651.9      0.0001104399
 3652.0      0.0001104167
 3652.1      0.0001103960
 3652.2      0.0001103782
 3652.3      0.0001103636
 3652.4      0.0001103525
 3652.5      0.0001103450
 3652.6      0.0001103488
 3652.7      0.0001103558
 3652.8      0.0001103659
 3652.9      0.0001103788
 3653.0      0.0001103945
 3653.1      0.0001104128
 3653.2      0.0001104335
 3653.3      0.0001104566
 3653.4      0.0001104816
 3653.5      0.0001105087
 3653.6      0.0001105377
 3653.7      0.0001105682
 3653.8      0.0001106003
 3653.9      0.0001106336
 3654.0      0.0001106682
 3654.1      0.0001107039
 3654.2      0.0001107403
 3654.3      0.0001107775
 3654.4      0.0001108153
 3654.5      0.0001108535
 3654.6      0.0001108920
 3654.7      0.0001109304
 3654.8      0.0001109689
 3654.9      0.0001110071
 3655.0      0.0001110451
 3655.1      0.0001110841
 3655.2      0.0001111240
 3655.3      0.0001111649
 3655.4      0.0001112064
 3655.5      0.0001112484
 3655.6      0.0001112906
 3655.7      0.0001113329
 3655.8      0.0001113750
 3655.9      0.0001114167
 3656.0      0.0001114580
 3656.1      0.0001114986
 3656.2      0.0001115381
 3656.3      0.0001115766
 3656.4      0.0001116136
 3656.5      0.0001116492
 3656.6      0.0001116831
 3656.7      0.0001117150
 3656.8      0.0001117448
 3656.9      0.0001117723
 3657.0      0.0001117972
 3657.1      0.0001118195
 3657.2      0.0001118388
 3657.3      0.0001118550
 3657.4      0.0001118679
 3657.5      0.0001118772
 3657.6      0.0001118768
 3657.7      0.0001118728
 3657.8      0.0001118654
 3657.9      0.0001118549
 3658.0      0.0001118414
 3658.1      0.0001118252
 3658.2      0.0001118066
 3658.3      0.0001117856
 3658.4      0.0001117626
 3658.5      0.0001117376
 3658.6      0.0001117111
 3658.7      0.0001116833
 3658.8      0.0001116541
 3658.9      0.0001116241
 3659.0      0.0001115933
 3659.1      0.0001115620
 3659.2      0.0001115304
 3659.3      0.0001114987
 3659.4      0.0001114671
 3659.5      0.0001114359
 3659.6      0.0001114052
 3659.7      0.0001113754
 3659.8      0.0001113466
 3659.9      0.0001113190
 3660.0      0.0001112929
 3660.1      0.0001112788
 3660.2      0.0001112658
 3660.3      0.0001112536
 3660.4      0.0001112422
 3660.5      0.0001112314
 3660.6      0.0001112212
 3660.7      0.0001112115
 3660.8      0.0001112022
 3660.9      0.0001111932
 3661.0      0.0001111843
 3661.1      0.0001111756
 3661.2      0.0001111668
 3661.3      0.0001111579
 3661.4      0.0001111489
 3661.5      0.0001111395
 3661.6      0.0001111297
 3661.7      0.0001111194
 3661.8      0.0001111086
 3661.9      0.0001110970
 3662.0      0.0001110847
 3662.1      0.0001110714
 3662.2      0.0001110573
 3662.3      0.0001110420
 3662.4      0.0001110255
 3662.5      0.0001110078
 3662.6      0.0001109860
 3662.7      0.0001109631
 3662.8      0.0001109392
 3662.9      0.0001109143
 3663.0      0.0001108884
 3663.1      0.0001108616
 3663.2      0.0001108340
 3663.3      0.0001108056
 3663.4      0.0001107766
 3663.5      0.0001107469
 3663.6      0.0001107165
 3663.7      0.0001106857
 3663.8      0.0001106544
 3663.9      0.0001106226
 3664.0      0.0001105905
 3664.1      0.0001105581
 3664.2      0.0001105254
 3664.3      0.0001104926
 3664.4      0.0001104596
 3664.5      0.0001104265
 3664.6      0.0001103934
 3664.7      0.0001103604
 3664.8      0.0001103275
 3664.9      0.0001102948
 3665.0      0.0001102622
 3665.1      0.0001102277
 3665.2      0.0001101928
 3665.3      0.0001101575
 3665.4      0.0001101221
 3665.5      0.0001100865
 3665.6      0.0001100508
 3665.7      0.0001100154
 3665.8      0.0001099800
 3665.9      0.0001099450
 3666.0      0.0001099104
 3666.1      0.0001098762
 3666.2      0.0001098427
 3666.3      0.0001098099
 3666.4      0.0001097779
 3666.5      0.0001097468
 3666.6      0.0001097167
 3666.7      0.0001096878
 3666.8      0.0001096600
 3666.9      0.0001096337
 3667.0      0.0001096087
 3667.1      0.0001095852
 3667.2      0.0001095634
 3667.3      0.0001095433
 3667.4      0.0001095251
 3667.5      0.0001095088
 3667.6      0.0001094999
 3667.7      0.0001094933
 3667.8      0.0001094886
 3667.9      0.0001094859
 3668.0      0.0001094849
 3668.1      0.0001094854
 3668.2      0.0001094873
 3668.3      0.0001094903
 3668.4      0.0001094944
 3668.5      0.0001094993
 3668.6      0.0001095048
 3668.7      0.0001095108
 3668.8      0.0001095172
 3668.9      0.0001095237
 3669.0      0.0001095301
 3669.1      0.0001095363
 3669.2      0.0001095422
 3669.3      0.0001095474
 3669.4      0.0001095519
 3669.5      0.0001095556
 3669.6      0.0001095581
 3669.7      0.0001095593
 3669.8      0.0001095592
 3669.9      0.0001095574
 3670.0      0.0001095538
 3670.1      0.0001095395
 3670.2      0.0001095236
 3670.3      0.0001095062
 3670.4      0.0001094874
 3670.5      0.0001094673
 3670.6      0.0001094461
 3670.7      0.0001094240
 3670.8      0.0001094011
 3670.9      0.0001093776
 3671.0      0.0001093535
 3671.1      0.0001093291
 3671.2      0.0001093045
 3671.3      0.0001092798
 3671.4      0.0001092552
 3671.5      0.0001092308
 3671.6      0.0001092068
 3671.7      0.0001091833
 3671.8      0.0001091605
 3671.9      0.0001091385
 3672.0      0.0001091174
 3672.1      0.0001090974
 3672.2      0.0001090788
 3672.3      0.0001090614
 3672.4      0.0001090457
 3672.5      0.0001090316
 3672.6      0.0001090254
 3672.7      0.0001090207
 3672.8      0.0001090175
 3672.9      0.0001090156
 3673.0      0.0001090149
 3673.1      0.0001090153
 3673.2      0.0001090167
 3673.3      0.0001090190
 3673.4      0.0001090220
 3673.5      0.0001090257
 3673.6      0.0001090299
 3673.7      0.0001090346
 3673.8      0.0001090396
 3673.9      0.0001090448
 3674.0      0.0001090501
 3674.1      0.0001090554
 3674.2      0.0001090606
 3674.3      0.0001090655
 3674.4      0.0001090700
 3674.5      0.0001090742
 3674.6      0.0001090777
 3674.7      0.0001090805
 3674.8      0.0001090826
 3674.9      0.0001090837
 3675.0      0.0001090838
 3675.1      0.0001090805
 3675.2      0.0001090767
 3675.3      0.0001090722
 3675.4      0.0001090672
 3675.5      0.0001090616
 3675.6      0.0001090554
 3675.7      0.0001090486
 3675.8      0.0001090413
 3675.9      0.0001090334
 3676.0      0.0001090250
 3676.1      0.0001090160
 3676.2      0.0001090065
 3676.3      0.0001089964
 3676.4      0.0001089859
 3676.5      0.0001089748
 3676.6      0.0001089631
 3676.7      0.0001089510
 3676.8      0.0001089384
 3676.9      0.0001089253
 3677.0      0.0001089117
 3677.1      0.0001088975
 3677.2      0.0001088830
 3677.3      0.0001088679
 3677.4      0.0001088524
 3677.5      0.0001088364
 3677.6      0.0001088146
 3677.7      0.0001087916
 3677.8      0.0001087676
 3677.9      0.0001087428
 3678.0      0.0001087173
 3678.1      0.0001086913
 3678.2      0.0001086651
 3678.3      0.0001086386
 3678.4      0.0001086123
 3678.5      0.0001085861
 3678.6      0.0001085603
 3678.7      0.0001085351
 3678.8      0.0001085105
 3678.9      0.0001084869
 3679.0      0.0001084644
 3679.1      0.0001084430
 3679.2      0.0001084232
 3679.3      0.0001084049
 3679.4      0.0001083884
 3679.5      0.0001083738
 3679.6      0.0001083613
 3679.7      0.0001083511
 3679.8      0.0001083433
 3679.9      0.0001083382
 3680.0      0.0001083359
 3680.1      0.0001083481
 3680.2      0.0001083637
 3680.3      0.0001083823
 3680.4      0.0001084036
 3680.5      0.0001084274
 3680.6      0.0001084532
