# Sc spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3631.9      0.0002762807
 3632.0      0.0002758906
 3632.1      0.0002754942
 3632.2      0.0002750925
 3632.3      0.0002746834
 3632.4      0.0002742689
 3632.5      0.0002738470
 3632.6      0.0002734186
 3632.7      0.0002729849
 3632.8      0.0002725437
 3632.9      0.0002720971
 3633.0      0.0002716429
 3633.1      0.0002711821
 3633.2      0.0002707160
 3633.3      0.0002702422
 3633.4      0.0002697630
 3633.5      0.0002692760
 3633.6      0.0002687824
 3633.7      0.0002682834
 3633.8      0.0002677765
 3633.9      0.0002672643
 3634.0      0.0002667440
 3634.1      0.0002662171
 3634.2      0.0002656847
 3634.3      0.0002651444
 3634.4      0.0002645985
 3634.5      0.0002640446
 3634.6      0.0002634839
 3634.7      0.0002629177
 3634.8      0.0002623433
 3634.9      0.0002617635
 3635.0      0.0002611754
 3635.1      0.0002605048
 3635.2      0.0002598224
 3635.3      0.0002591257
 3635.4      0.0002584187
 3635.5      0.0002576989
 3635.6      0.0002569685
 3635.7      0.0002562303
 3635.8      0.0002554813
 3635.9      0.0002547260
 3636.0      0.0002539614
 3636.1      0.0002531900
 3636.2      0.0002524146
 3636.3      0.0002516321
 3636.4      0.0002508471
 3636.5      0.0002500564
 3636.6      0.0002492628
 3636.7      0.0002484689
 3636.8      0.0002476716
 3636.9      0.0002468755
 3637.0      0.0002460775
 3637.1      0.0002452803
 3637.2      0.0002444866
 3637.3      0.0002436932
 3637.4      0.0002429048
 3637.5      0.0002421182
 3637.6      0.0002413361
 3637.7      0.0002405612
 3637.8      0.0002397905
 3637.9      0.0002390284
 3638.0      0.0002382719
 3638.1      0.0002375237
 3638.2      0.0002367864
 3638.3      0.0002360570
 3638.4      0.0002353398
 3638.5      0.0002346322
 3638.6      0.0002339366
 3638.7      0.0002332554
 3638.8      0.0002325861
 3638.9      0.0002319326
 3639.0      0.0002312926
 3639.1      0.0002306683
 3639.2      0.0002300620
 3639.3      0.0002294715
 3639.4      0.0002289003
 3639.5      0.0002283465
 3639.6      0.0002278123
 3639.7      0.0002272995
 3639.8      0.0002268065
 3639.9      0.0002263364
 3640.0      0.0002258876
 3640.1      0.0002254805
 3640.2      0.0002250917
 3640.3      0.0002247190
 3640.4      0.0002243642
 3640.5      0.0002240252
 3640.6      0.0002237028
 3640.7      0.0002233976
 3640.8      0.0002231079
 3640.9      0.0002228350
 3641.0      0.0002225774
 3641.1      0.0002223355
 3641.2      0.0002221097
 3641.3      0.0002218989
 3641.4      0.0002217037
 3641.5      0.0002215232
 3641.6      0.0002213575
 3641.7      0.0002212070
 3641.8      0.0002210707
 3641.9      0.0002209491
 3642.0      0.0002208415
 3642.1      0.0002207479
 3642.2      0.0002206685
 3642.3      0.0002206026
 3642.4      0.0002205503
 3642.5      0.0002205114
 3642.6      0.0002204857
 3642.7      0.0002204731
 3642.8      0.0002204733
 3642.9      0.0002204863
 3643.0      0.0002205118
 3643.1      0.0002205498
 3643.2      0.0002205998
 3643.3      0.0002206620
 3643.4      0.0002207360
 3643.5      0.0002208218
 3643.6      0.0002209192
 3643.7      0.0002210277
 3643.8      0.0002211476
 3643.9      0.0002212783
 3644.0      0.0002214202
 3644.1      0.0002215729
 3644.2      0.0002217356
 3644.3      0.0002219091
 3644.4      0.0002220924
 3644.5      0.0002222862
 3644.6      0.0002224898
 3644.7      0.0002227026
 3644.8      0.0002229255
 3644.9      0.0002231572
 3645.0      0.0002233986
 3645.1      0.0002236378
 3645.2      0.0002238927
 3645.3      0.0002241637
 3645.4      0.0002244491
 3645.5      0.0002247496
 3645.6      0.0002250638
 3645.7      0.0002253904
 3645.8      0.0002257304
 3645.9      0.0002260814
 3646.0      0.0002264446
 3646.1      0.0002268185
 3646.2      0.0002272016
 3646.3      0.0002275951
 3646.4      0.0002279965
 3646.5      0.0002284072
 3646.6      0.0002288254
 3646.7      0.0002292497
 3646.8      0.0002296814
 3646.9      0.0002301179
 3647.0      0.0002305606
 3647.1      0.0002310079
 3647.2      0.0002314580
 3647.3      0.0002319126
 3647.4      0.0002323688
 3647.5      0.0002328283
 3647.6      0.0002332893
 3647.7      0.0002337500
 3647.8      0.0002342121
 3647.9      0.0002346728
 3648.0      0.0002351337
 3648.1      0.0002355930
 3648.2      0.0002360490
 3648.3      0.0002365034
 3648.4      0.0002369532
 3648.5      0.0002374001
 3648.6      0.0002378425
 3648.7      0.0002382785
 3648.8      0.0002387097
 3648.9      0.0002391334
 3649.0      0.0002395511
 3649.1      0.0002399611
 3649.2      0.0002403618
 3649.3      0.0002407545
 3649.4      0.0002411368
 3649.5      0.0002415099
 3649.6      0.0002418722
 3649.7      0.0002422223
 3649.8      0.0002425613
 3649.9      0.0002428868
 3650.0      0.0002432000
 3650.1      0.0002434404
 3650.2      0.0002436713
 3650.3      0.0002438940
 3650.4      0.0002441075
 3650.5      0.0002443129
 3650.6      0.0002445100
 3650.7      0.0002446984
 3650.8      0.0002448791
 3650.9      0.0002450514
 3651.0      0.0002452163
 3651.1      0.0002453736
 3651.2      0.0002455229
 3651.3      0.0002456651
 3651.4      0.0002457998
 3651.5      0.0002459276
 3651.6      0.0002460485
 3651.7      0.0002461622
 3651.8      0.0002462695
 3651.9      0.0002463699
 3652.0      0.0002464642
 3652.1      0.0002465522
 3652.2      0.0002466338
 3652.3      0.0002467096
 3652.4      0.0002467793
 3652.5      0.0002468435
 3652.6      0.0002469021
 3652.7      0.0002469551
 3652.8      0.0002470029
 3652.9      0.0002470454
 3653.0      0.0002470830
 3653.1      0.0002471157
 3653.2      0.0002471435
 3653.3      0.0002471668
 3653.4      0.0002471856
 3653.5      0.0002472000
 3653.6      0.0002472103
 3653.7      0.0002472165
 3653.8      0.0002472187
 3653.9      0.0002472172
 3654.0      0.0002472121
 3654.1      0.0002472034
 3654.2      0.0002471914
 3654.3      0.0002471762
 3654.4      0.0002471579
 3654.5      0.0002471366
 3654.6      0.0002471125
 3654.7      0.0002470858
 3654.8      0.0002470565
 3654.9      0.0002470249
 3655.0      0.0002469909
 3655.1      0.0002469070
 3655.2      0.0002468146
 3655.3      0.0002467138
 3655.4      0.0002466056
 3655.5      0.0002464903
 3655.6      0.0002463685
 3655.7      0.0002462412
 3655.8      0.0002461083
 3655.9      0.0002459712
 3656.0      0.0002458295
 3656.1      0.0002456844
 3656.2      0.0002455367
 3656.3      0.0002453864
 3656.4      0.0002452346
 3656.5      0.0002450812
 3656.6      0.0002449273
 3656.7      0.0002447737
 3656.8      0.0002446203
 3656.9      0.0002444685
 3657.0      0.0002443179
 3657.1      0.0002441697
 3657.2      0.0002440247
 3657.3      0.0002438828
 3657.4      0.0002437453
 3657.5      0.0002436121
 3657.6      0.0002434841
 3657.7      0.0002433622
 3657.8      0.0002432463
 3657.9      0.0002431377
 3658.0      0.0002430364
 3658.1      0.0002429431
 3658.2      0.0002428588
 3658.3      0.0002427835
 3658.4      0.0002427182
 3658.5      0.0002426632
 3658.6      0.0002426192
 3658.7      0.0002425869
 3658.8      0.0002425667
 3658.9      0.0002425593
 3659.0      0.0002425652
 3659.1      0.0002425850
 3659.2      0.0002426192
 3659.3      0.0002426686
 3659.4      0.0002427335
 3659.5      0.0002428148
 3659.6      0.0002429130
 3659.7      0.0002430282
 3659.8      0.0002431618
 3659.9      0.0002433135
 3660.0      0.0002434847
 3660.1      0.0002438020
 3660.2      0.0002441401
 3660.3      0.0002444999
 3660.4      0.0002448788
 3660.5      0.0002452777
 3660.6      0.0002456949
 3660.7      0.0002461284
 3660.8      0.0002465794
 3660.9      0.0002470450
 3661.0      0.0002475265
 3661.1      0.0002480219
 3661.2      0.0002485291
 3661.3      0.0002490498
 3661.4      0.0002495805
 3661.5      0.0002501229
 3661.6      0.0002506750
 3661.7      0.0002512344
 3661.8      0.0002518030
 3661.9      0.0002523772
 3662.0      0.0002529590
 3662.1      0.0002535460
 3662.2      0.0002541359
 3662.3      0.0002547309
 3662.4      0.0002553270
 3662.5      0.0002559264
 3662.6      0.0002565268
 3662.7      0.0002571257
 3662.8      0.0002577253
 3662.9      0.0002583218
 3663.0      0.0002589173
 3663.1      0.0002595093
 3663.2      0.0002600956
 3663.3      0.0002606783
 3663.4      0.0002612535
 3663.5      0.0002618233
 3663.6      0.0002623854
 3663.7      0.0002629375
 3663.8      0.0002634815
 3663.9      0.0002640139
 3664.0      0.0002645365
 3664.1      0.0002650469
 3664.2      0.0002655433
 3664.3      0.0002660270
 3664.4      0.0002664950
 3664.5      0.0002669486
 3664.6      0.0002673858
 3664.7      0.0002678048
 3664.8      0.0002682066
 3664.9      0.0002685886
 3665.0      0.0002689517
 3665.1      0.0002691162
 3665.2      0.0002692610
 3665.3      0.0002693877
 3665.4      0.0002694964
 3665.5      0.0002695885
 3665.6      0.0002696645
 3665.7      0.0002697250
 3665.8      0.0002697713
 3665.9      0.0002698038
 3666.0      0.0002698235
 3666.1      0.0002698312
 3666.2      0.0002698276
 3666.3      0.0002698136
 3666.4      0.0002697900
 3666.5      0.0002697575
 3666.6      0.0002697170
 3666.7      0.0002696694
 3666.8      0.0002696154
 3666.9      0.0002695558
 3667.0      0.0002694913
 3667.1      0.0002694229
 3667.2      0.0002693514
 3667.3      0.0002692774
 3667.4      0.0002692021
 3667.5      0.0002691258
 3667.6      0.0002690495
 3667.7      0.0002689743
 3667.8      0.0002689006
 3667.9      0.0002688296
 3668.0      0.0002687616
 3668.1      0.0002686978
 3668.2      0.0002686390
 3668.3      0.0002685857
 3668.4      0.0002685391
 3668.5      0.0002684997
 3668.6      0.0002684684
 3668.7      0.0002684461
 3668.8      0.0002684335
 3668.9      0.0002684315
 3669.0      0.0002684408
 3669.1      0.0002684623
 3669.2      0.0002684966
 3669.3      0.0002685449
 3669.4      0.0002686075
 3669.5      0.0002686857
 3669.6      0.0002687801
 3669.7      0.0002688913
 3669.8      0.0002690205
 3669.9      0.0002691680
 3670.0      0.0002693353
 3670.1      0.0002696068
 3670.2      0.0002698927
 3670.3      0.0002701941
 3670.4      0.0002705091
 3670.5      0.0002708389
 3670.6      0.0002711825
 3670.7      0.0002715387
 3670.8      0.0002719089
 3670.9      0.0002722910
 3671.0      0.0002726865
 3671.1      0.0002730941
 3671.2      0.0002735126
 3671.3      0.0002739436
 3671.4      0.0002743848
 3671.5      0.0002748379
 3671.6      0.0002753015
 3671.7      0.0002757743
 3671.8      0.0002762581
 3671.9      0.0002767503
 3672.0      0.0002772530
 3672.1      0.0002777647
 3672.2      0.0002782837
 3672.3      0.0002788123
 3672.4      0.0002793476
 3672.5      0.0002798918
 3672.6      0.0002804434
 3672.7      0.0002810007
 3672.8      0.0002815661
 3672.9      0.0002821364
 3673.0      0.0002827142
 3673.1      0.0002832978
 3673.2      0.0002838853
 3673.3      0.0002844794
 3673.4      0.0002850768
 3673.5      0.0002856801
 3673.6      0.0002862876
 3673.7      0.0002868974
 3673.8      0.0002875121
 3673.9      0.0002881286
 3674.0      0.0002887494
 3674.1      0.0002893728
 3674.2      0.0002899968
 3674.3      0.0002906243
 3674.4      0.0002912518
 3674.5      0.0002918821
 3674.6      0.0002925133
 3674.7      0.0002931436
 3674.8      0.0002937757
 3674.9      0.0002944062
 3675.0      0.0002950380
 3675.1      0.0002957566
 3675.2      0.0002964844
 3675.3      0.0002972240
 3675.4      0.0002979709
 3675.5      0.0002987277
 3675.6      0.0002994918
 3675.7      0.0003002602
 3675.8      0.0003010359
 3675.9      0.0003018141
 3676.0      0.0003025977
 3676.1      0.0003033838
 3676.2      0.0003041696
 3676.3      0.0003049579
 3676.4      0.0003057441
 3676.5      0.0003065310
 3676.6      0.0003073157
 3676.7      0.0003080955
 3676.8      0.0003088731
 3676.9      0.0003096440
 3677.0      0.0003104108
 3677.1      0.0003111707
 3677.2      0.0003119211
 3677.3      0.0003126646
 3677.4      0.0003133967
 3677.5      0.0003141201
 3677.6      0.0003148319
 3677.7      0.0003155295
 3677.8      0.0003162155
 3677.9      0.0003168856
 3678.0      0.0003175420
 3678.1      0.0003181823
 3678.2      0.0003188039
 3678.3      0.0003194090
 3678.4      0.0003199936
 3678.5      0.0003205598
 3678.6      0.0003211050
 3678.7      0.0003216272
 3678.8      0.0003221280
 3678.9      0.0003226039
 3679.0      0.0003230564
 3679.1      0.0003234833
 3679.2      0.0003238827
 3679.3      0.0003242557
 3679.4      0.0003245996
 3679.5      0.0003249150
 3679.6      0.0003252001
 3679.7      0.0003254534
 3679.8      0.0003256753
 3679.9      0.0003258637
 3680.0      0.0003260186
 3680.1      0.0003261060
 3680.2      0.0003261627
 3680.3      0.0003261896
 3680.4      0.0003261871
 3680.5      0.0003261558
 3680.6      0.0003260962
 3680.7      0.0003260090
 3680.8      0.0003258945
 3680.9      0.0003257536
 3681.0      0.0003255863
 3681.1      0.0003253935
 3681.2      0.0003251762
 3681.3      0.0003249339
 3681.4      0.0003246683
 3681.5      0.0003243788
 3681.6      0.0003240665
 3681.7      0.0003237327
 3681.8      0.0003233764
 3681.9      0.0003230000
 3682.0      0.0003226020
 3682.1      0.0003221839
 3682.2      0.0003217474
 3682.3      0.0003212909
 3682.4      0.0003208172
 3682.5      0.0003203244
 3682.6      0.0003198144
 3682.7      0.0003192889
 3682.8      0.0003187459
 3682.9      0.0003181887
 3683.0      0.0003176150
 3683.1      0.0003170267
 3683.2      0.0003164259
 3683.3      0.0003158102
 3683.4      0.0003151831
 3683.5      0.0003145422
 3683.6      0.0003138894
 3683.7      0.0003132270
 3683.8      0.0003125523
 3683.9      0.0003118692
 3684.0      0.0003111748
 3684.1      0.0003104713
 3684.2      0.0003097610
 3684.3      0.0003090411
 3684.4      0.0003083156
 3684.5      0.0003075814
 3684.6      0.0003068410
 3684.7      0.0003060966
 3684.8      0.0003053452
 3684.9      0.0003045910
 3685.0      0.0003038308
 3685.1      0.0003031010
 3685.2      0.0003023571
 3685.3      0.0003015962
 3685.4      0.0003008229
 3685.5      0.0003000340
 3685.6      0.0002992324
 3685.7      0.0002984206
