# Atmospheric transmission curve combined from Anglo-Australian Observatory and Mauna Kea  (09/April/10, CEM).
#  Lambda (AA)  Transmission
3653.50     0.706224
3653.60     0.706247
3653.70     0.706270
3653.80     0.706293
3653.90     0.706316
3654.00     0.706340
3654.10     0.706363
3654.20     0.706386
3654.30     0.706409
3654.40     0.706432
3654.50     0.706455
3654.60     0.706478
3654.70     0.706501
3654.80     0.706524
3654.90     0.706548
3655.00     0.706571
3655.10     0.706594
3655.20     0.706617
3655.30     0.706640
3655.40     0.706663
3655.50     0.706686
3655.60     0.706710
3655.70     0.706733
3655.80     0.706756
3655.90     0.706779
3656.00     0.706802
3656.10     0.706825
3656.20     0.706848
3656.30     0.706871
3656.40     0.706894
3656.50     0.706918
3656.60     0.706941
3656.70     0.706964
3656.80     0.706987
3656.90     0.707010
3657.00     0.707033
3657.10     0.707056
3657.20     0.707079
3657.30     0.707103
3657.40     0.707126
3657.50     0.707149
3657.60     0.707172
3657.70     0.707195
3657.80     0.707218
3657.90     0.707241
3658.00     0.707264
3658.10     0.707287
3658.20     0.707311
3658.30     0.707334
3658.40     0.707357
3658.50     0.707380
3658.60     0.707403
3658.70     0.707426
3658.80     0.707449
3658.90     0.707473
3659.00     0.707496
3659.10     0.707519
3659.20     0.707542
3659.30     0.707565
3659.40     0.707588
3659.50     0.707611
3659.60     0.707634
3659.70     0.707657
3659.80     0.707681
3659.90     0.707704
3660.00     0.707727
3660.10     0.707750
3660.20     0.707773
3660.30     0.707796
3660.40     0.707819
3660.50     0.707842
3660.60     0.707866
3660.70     0.707889
3660.80     0.707912
3660.90     0.707935
3661.00     0.707958
3661.10     0.707981
3661.20     0.708004
3661.30     0.708027
3661.40     0.708050
3661.50     0.708074
3661.60     0.708097
3661.70     0.708120
3661.80     0.708143
3661.90     0.708166
3662.00     0.708189
3662.10     0.708212
3662.20     0.708236
3662.30     0.708259
3662.40     0.708282
3662.50     0.708305
3662.60     0.708328
3662.70     0.708351
3662.80     0.708374
3662.90     0.708397
3663.00     0.708420
3663.10     0.708444
3663.20     0.708467
3663.30     0.708490
3663.40     0.708513
3663.50     0.708536
3663.60     0.708559
3663.70     0.708582
3663.80     0.708606
3663.90     0.708629
3664.00     0.708652
3664.10     0.708675
3664.20     0.708698
3664.30     0.708721
3664.40     0.708744
3664.50     0.708767
3664.60     0.708790
3664.70     0.708814
3664.80     0.708837
3664.90     0.708860
3665.00     0.708883
3665.10     0.708906
3665.20     0.708929
3665.30     0.708952
3665.40     0.708975
3665.50     0.708999
3665.60     0.709022
3665.70     0.709045
3665.80     0.709068
3665.90     0.709091
3666.00     0.709114
3666.10     0.709137
3666.20     0.709160
3666.30     0.709184
3666.40     0.709207
3666.50     0.709230
3666.60     0.709253
3666.70     0.709276
3666.80     0.709299
3666.90     0.709322
3667.00     0.709345
3667.10     0.709369
3667.20     0.709392
3667.30     0.709415
3667.40     0.709438
3667.50     0.709461
3667.60     0.709484
3667.70     0.709507
3667.80     0.709530
3667.90     0.709553
3668.00     0.709577
3668.10     0.709600
3668.20     0.709623
3668.30     0.709646
3668.40     0.709669
3668.50     0.709692
3668.60     0.709715
3668.70     0.709738
3668.80     0.709762
3668.90     0.709785
3669.00     0.709808
3669.10     0.709831
3669.20     0.709854
3669.30     0.709877
3669.40     0.709900
3669.50     0.709923
3669.60     0.709947
3669.70     0.709970
3669.80     0.709993
3669.90     0.710016
3670.00     0.710039
3670.10     0.710062
3670.20     0.710085
3670.30     0.710108
3670.40     0.710132
3670.50     0.710155
3670.60     0.710178
3670.70     0.710201
3670.80     0.710224
3670.90     0.710247
3671.00     0.710270
3671.10     0.710293
3671.20     0.710316
3671.30     0.710340
3671.40     0.710363
3671.50     0.710386
3671.60     0.710409
3671.70     0.710432
3671.80     0.710455
3671.90     0.710478
3672.00     0.710501
3672.10     0.710525
3672.20     0.710548
3672.30     0.710571
3672.40     0.710594
3672.50     0.710617
3672.60     0.710640
3672.70     0.710663
3672.80     0.710686
3672.90     0.710710
3673.00     0.710733
3673.10     0.710756
3673.20     0.710779
3673.30     0.710802
3673.40     0.710825
3673.50     0.710848
3673.60     0.710871
3673.70     0.710895
3673.80     0.710918
3673.90     0.710941
3674.00     0.710964
3674.10     0.710987
3674.20     0.711010
3674.30     0.711033
3674.40     0.711056
3674.50     0.711080
3674.60     0.711103
3674.70     0.711126
3674.80     0.711149
3674.90     0.711172
3675.00     0.711195
3675.10     0.711218
3675.20     0.711241
3675.30     0.711264
3675.40     0.711288
3675.50     0.711311
3675.60     0.711334
3675.70     0.711357
3675.80     0.711380
3675.90     0.711403
3676.00     0.711426
3676.10     0.711450
3676.20     0.711473
3676.30     0.711496
3676.40     0.711519
3676.50     0.711542
3676.60     0.711565
3676.70     0.711588
3676.80     0.711611
3676.90     0.711634
3677.00     0.711658
3677.10     0.711681
3677.20     0.711704
3677.30     0.711727
3677.40     0.711750
3677.50     0.711773
3677.60     0.711796
3677.70     0.711819
3677.80     0.711843
3677.90     0.711866
3678.00     0.711889
3678.10     0.711912
3678.20     0.711935
3678.30     0.711958
3678.40     0.711981
3678.50     0.712004
3678.60     0.712028
3678.70     0.712051
3678.80     0.712074
3678.90     0.712097
3679.00     0.712120
3679.10     0.712143
3679.20     0.712166
3679.30     0.712189
3679.40     0.712213
3679.50     0.712236
3679.60     0.712259
3679.70     0.712282
3679.80     0.712305
3679.90     0.712328
3680.00     0.712351
3680.10     0.712374
3680.20     0.712397
3680.30     0.712421
3680.40     0.712444
3680.50     0.712467
3680.60     0.712490
3680.70     0.712513
3680.80     0.712536
3680.90     0.712559
3681.00     0.712582
3681.10     0.712606
3681.20     0.712629
3681.30     0.712652
3681.40     0.712675
3681.50     0.712698
3681.60     0.712721
3681.70     0.712744
3681.80     0.712767
3681.90     0.712790
3682.00     0.712814
3682.10     0.712837
3682.20     0.712860
3682.30     0.712883
3682.40     0.712906
3682.50     0.712929
3682.60     0.712952
3682.70     0.712976
3682.80     0.712999
3682.90     0.713022
3683.00     0.713045
3683.10     0.713068
3683.20     0.713091
3683.30     0.713114
3683.40     0.713137
3683.50     0.713161
3683.60     0.713184
3683.70     0.713207
3683.80     0.713230
3683.90     0.713253
3684.00     0.713276
3684.10     0.713299
3684.20     0.713322
3684.30     0.713346
3684.40     0.713369
3684.50     0.713392
3684.60     0.713415
3684.70     0.713438
3684.80     0.713461
3684.90     0.713484
3685.00     0.713507
3685.10     0.713530
3685.20     0.713554
3685.30     0.713577
3685.40     0.713600
3685.50     0.713623
3685.60     0.713646
3685.70     0.713669
3685.80     0.713692
3685.90     0.713715
3686.00     0.713739
3686.10     0.713762
3686.20     0.713785
3686.30     0.713808
3686.40     0.713831
3686.50     0.713854
3686.60     0.713877
3686.70     0.713900
3686.80     0.713924
3686.90     0.713947
3687.00     0.713970
3687.10     0.713993
3687.20     0.714016
3687.30     0.714039
3687.40     0.714062
3687.50     0.714085
3687.60     0.714108
3687.70     0.714132
3687.80     0.714155
3687.90     0.714178
3688.00     0.714201
3688.10     0.714224
3688.20     0.714247
3688.30     0.714270
3688.40     0.714293
3688.50     0.714317
3688.60     0.714340
3688.70     0.714363
3688.80     0.714386
3688.90     0.714409
3689.00     0.714432
3689.10     0.714455
3689.20     0.714478
3689.30     0.714502
3689.40     0.714525
3689.50     0.714548
3689.60     0.714571
3689.70     0.714594
3689.80     0.714617
3689.90     0.714640
3690.00     0.714663
3690.10     0.714687
3690.20     0.714710
3690.30     0.714733
3690.40     0.714756
3690.50     0.714779
3690.60     0.714802
3690.70     0.714825
3690.80     0.714848
3690.90     0.714871
3691.00     0.714895
3691.10     0.714918
3691.20     0.714941
3691.30     0.714964
3691.40     0.714987
3691.50     0.715010
3691.60     0.715033
3691.70     0.715056
3691.80     0.715080
3691.90     0.715103
3692.00     0.715126
3692.10     0.715149
3692.20     0.715172
3692.30     0.715195
3692.40     0.715218
3692.50     0.715241
3692.60     0.715265
3692.70     0.715288
3692.80     0.715311
3692.90     0.715334
3693.00     0.715357
3693.10     0.715380
3693.20     0.715403
3693.30     0.715426
3693.40     0.715450
3693.50     0.715473
3693.60     0.715496
3693.70     0.715519
3693.80     0.715542
3693.90     0.715565
3694.00     0.715588
3694.10     0.715611
3694.20     0.715635
3694.30     0.715658
3694.40     0.715681
3694.50     0.715704
3694.60     0.715727
3694.70     0.715750
3694.80     0.715773
3694.90     0.715796
3695.00     0.715820
3695.10     0.715843
3695.20     0.715866
3695.30     0.715889
3695.40     0.715912
3695.50     0.715935
3695.60     0.715958
3695.70     0.715981
3695.80     0.716004
3695.90     0.716028
3696.00     0.716051
3696.10     0.716074
3696.20     0.716097
3696.30     0.716120
3696.40     0.716143
3696.50     0.716166
3696.60     0.716190
3696.70     0.716213
3696.80     0.716236
3696.90     0.716259
3697.00     0.716282
3697.10     0.716305
3697.20     0.716328
3697.30     0.716351
3697.40     0.716374
3697.50     0.716398
3697.60     0.716421
3697.70     0.716444
3697.80     0.716467
3697.90     0.716490
3698.00     0.716513
3698.10     0.716536
3698.20     0.716559
3698.30     0.716583
3698.40     0.716606
3698.50     0.716629
3698.60     0.716652
3698.70     0.716675
3698.80     0.716698
3698.90     0.716721
3699.00     0.716744
3699.10     0.716768
3699.20     0.716791
3699.30     0.716814
3699.40     0.716837
3699.50     0.716860
3699.60     0.716883
3699.70     0.716906
3699.80     0.716929
3699.90     0.716953
3700.00     0.716976
3700.10     0.716999
3700.20     0.717022
3700.30     0.717045
3700.40     0.717068
3700.50     0.717091
3700.60     0.717114
3700.70     0.717137
3700.80     0.717161
3700.90     0.717184
3701.00     0.717207
3701.10     0.717230
3701.20     0.717253
3701.30     0.717276
3701.40     0.717299
3701.50     0.717322
3701.60     0.717346
3701.70     0.717369
3701.80     0.717392
3701.90     0.717415
3702.00     0.717438
3702.10     0.717461
3702.20     0.717484
3702.30     0.717507
3702.40     0.717530
3702.50     0.717554
3702.60     0.717577
3702.70     0.717600
3702.80     0.717623
3702.90     0.717646
3703.00     0.717669
3703.10     0.717692
3703.20     0.717716
3703.30     0.717739
3703.40     0.717762
3703.50     0.717785
3703.60     0.717808
3703.70     0.717831
3703.80     0.717854
3703.90     0.717877
3704.00     0.717901
3704.10     0.717924
3704.20     0.717947
3704.30     0.717970
3704.40     0.717993
3704.50     0.718016
3704.60     0.718039
3704.70     0.718062
3704.80     0.718085
3704.90     0.718109
3705.00     0.718132
3705.10     0.718155
3705.20     0.718178
3705.30     0.718201
3705.40     0.718224
3705.50     0.718247
3705.60     0.718270
3705.70     0.718294
3705.80     0.718317
3705.90     0.718340
3706.00     0.718363
3706.10     0.718386
3706.20     0.718409
3706.30     0.718432
3706.40     0.718455
3706.50     0.718479
3706.60     0.718502
3706.70     0.718525
3706.80     0.718548
3706.90     0.718571
3707.00     0.718594
3707.10     0.718617
3707.20     0.718640
3707.30     0.718664
3707.40     0.718687
3707.50     0.718710
3707.60     0.718733
3707.70     0.718756
3707.80     0.718779
3707.90     0.718802
3708.00     0.718825
3708.10     0.718848
3708.20     0.718872
3708.30     0.718895
3708.40     0.718918
3708.50     0.718941
3708.60     0.718964
3708.70     0.718987
3708.80     0.719010
3708.90     0.719033
3709.00     0.719057
3709.10     0.719080
3709.20     0.719103
3709.30     0.719126
3709.40     0.719149
3709.50     0.719172
3709.60     0.719195
3709.70     0.719218
3709.80     0.719242
3709.90     0.719265
3710.00     0.719288
3710.10     0.719311
3710.20     0.719334
3710.30     0.719357
3710.40     0.719380
3710.50     0.719403
3710.60     0.719427
3710.70     0.719450
3710.80     0.719473
3710.90     0.719496
3711.00     0.719519
3711.10     0.719542
3711.20     0.719565
3711.30     0.719588
3711.40     0.719611
3711.50     0.719635
3711.60     0.719658
3711.70     0.719681
3711.80     0.719704
3711.90     0.719727
3712.00     0.719750
3712.10     0.719773
3712.20     0.719796
3712.30     0.719820
3712.40     0.719843
3712.50     0.719866
3712.60     0.719889
3712.70     0.719912
3712.80     0.719935
3712.90     0.719958
3713.00     0.719981
3713.10     0.720005
3713.20     0.720028
3713.30     0.720051
3713.40     0.720074
3713.50     0.720097
3713.60     0.720120
3713.70     0.720143
3713.80     0.720167
3713.90     0.720190
3714.00     0.720213
3714.10     0.720236
3714.20     0.720259
3714.30     0.720282
3714.40     0.720305
3714.50     0.720328
3714.60     0.720351
3714.70     0.720375
3714.80     0.720398
3714.90     0.720421
3715.00     0.720444
3715.10     0.720467
3715.20     0.720490
3715.30     0.720513
3715.40     0.720536
3715.50     0.720560
3715.60     0.720583
3715.70     0.720606
3715.80     0.720629
3715.90     0.720652
3716.00     0.720675
3716.10     0.720698
3716.20     0.720721
3716.30     0.720744
3716.40     0.720768
3716.50     0.720791
3716.60     0.720814
3716.70     0.720837
3716.80     0.720860
3716.90     0.720883
3717.00     0.720906
3717.10     0.720930
3717.20     0.720953
3717.30     0.720976
3717.40     0.720999
3717.50     0.721022
3717.60     0.721045
3717.70     0.721068
3717.80     0.721091
3717.90     0.721114
3718.00     0.721138
3718.10     0.721161
3718.20     0.721184
3718.30     0.721207
3718.40     0.721230
3718.50     0.721253
3718.60     0.721276
3718.70     0.721299
3718.80     0.721323
3718.90     0.721346
3719.00     0.721369
3719.10     0.721392
3719.20     0.721415
3719.30     0.721438
3719.40     0.721461
